id,label
3090,0.000406
8785,0.017801
10679,0.001595
7247,0.468851
8151,0.007671
1621,0.724664
10255,0.968631
7723,0.982674
11953,0.999417
6162,1.000000
11721,0.000201
5833,0.789007
3898,0.004490
5674,0.002716
12333,0.992864
2136,0.998871
2633,0.062571
2638,0.739929
11391,0.998029
10058,0.924629
8271,0.880164
8720,0.755371
4253,0.003717
10286,0.000017
3148,0.988788
5929,0.960837
4196,0.985766
7316,0.994072
11652,0.000803
3261,0.892621
2546,0.991203
4257,0.999919
4591,0.000852
10927,0.024207
3268,0.000289
2047,0.000402
2762,0.029777
11769,0.000659
12377,0.999048
9200,0.999196
1638,0.999866
8988,0.573637
513,0.994195
5860,0.994350
4412,0.000693
5723,0.000730
6417,0.037819
1689,0.008473
3733,0.000567
39,0.937106
9115,0.998434
1284,0.980667
1667,0.999797
3299,0.016017
3359,0.888409
1797,0.998456
12323,0.987192
5000,0.995224
6675,0.999348
2640,0.000182
10373,0.000780
3113,0.034910
12328,0.992356
5244,0.949520
1231,0.859504
11772,0.558898
6336,0.002812
1118,0.000307
11153,0.997764
9056,0.030502
1734,0.167517
10341,0.004461
2472,0.435261
9213,0.135405
10037,0.080760
11884,0.025273
3863,0.001338
2503,0.004444
5394,0.998666
7829,0.888329
8028,0.999373
1061,0.000244
9495,0.998898
11157,0.693170
10063,0.981136
8637,0.998754
2204,0.942033
7141,1.000000
6103,0.999720
6523,0.985216
12314,0.996926
8465,0.001345
4718,0.989016
3609,0.000275
4011,0.000325
5002,0.004968
2602,0.999768
747,0.999285
3676,0.999963
8115,0.001981
10867,0.000266
1230,0.001766
6476,0.993073
12155,0.675346
4806,0.013546
2982,0.999318
11735,0.917025
5661,0.000230
9723,0.994443
4023,0.999691
11299,0.013008
6094,0.999853
150,0.241942
11830,0.002101
5641,0.990434
10295,0.002304
1074,0.994824
6338,0.000853
4450,0.014476
7948,0.022987
2954,0.001341
8850,0.774418
3427,0.859712
364,0.000799
1148,0.000756
10706,0.944032
12243,0.003180
2636,0.107576
7378,0.388292
11003,0.042215
1890,0.064468
3971,0.050952
8568,0.207652
9467,0.037420
7497,0.000399
10226,0.021416
11096,0.427806
8952,0.982987
5330,0.019442
5952,0.985887
5937,0.104268
6829,0.000160
3068,0.999071
11480,0.008340
1835,0.003690
2545,0.000790
653,0.016148
6927,0.001013
4136,0.997628
8413,0.002497
2095,0.999973
8335,0.994275
5575,0.999755
9541,0.000907
1109,0.050799
5493,0.999871
2231,0.000351
2808,0.004427
12341,0.999854
10696,0.998093
4390,0.986335
10133,0.001853
4743,0.107234
6181,0.191281
10484,0.968077
9845,0.037099
5425,0.982964
2715,0.000088
4383,0.914060
3095,0.988040
5409,0.958337
3966,0.938426
10205,0.056541
4751,0.005196
9242,0.457576
9951,0.000106
199,0.956216
2518,0.996107
8503,0.999985
8806,0.300906
12340,0.010620
6212,0.002160
5424,0.006378
2016,0.083040
2871,0.998707
9594,0.912180
7471,0.339183
4347,0.999829
8150,0.016826
11495,0.022126
12240,0.009416
5310,0.939043
7947,0.918127
5689,0.995938
2349,0.000997
6499,0.999999
9276,0.013147
11829,0.998360
5923,0.762787
6558,0.004591
1489,0.089603
428,0.006724
12433,0.973748
146,0.999989
6140,0.999546
6111,0.930523
281,0.949574
6508,0.000954
5403,0.996077
12235,0.964611
2026,0.701251
865,0.995921
